	row number	reason	data
0	1	Invalid site type&Invalid start date&Invalid end date	{'account_no': 1, 'customer_number': 4024, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '24/10/21', 'cool_off': '5/11/21', 'billing_start': nan, 'billing_end': nan}
1	2	Invalid site type&Invalid start date&Invalid end date	{'account_no': 2, 'customer_number': 17232, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '23/10/21', 'cool_off': '8/11/21', 'billing_start': nan, 'billing_end': nan}
2	3	Invalid end date	{'account_no': 3, 'customer_number': 541, 'age_group': '55-59', 'state': 'NSW', 'postcode': 2147.0, 'site_type': 'BUSINESS', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/10/21', 'cool_off': '27/10/21', 'billing_start': '15/10/21', 'billing_end': nan}
3	4	Invalid end date	{'account_no': 4, 'customer_number': 14232, 'age_group': '35-39', 'state': 'NSW', 'postcode': 2763.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/10/21', 'cool_off': '27/10/21', 'billing_start': '15/10/21', 'billing_end': nan}
4	5	Invalid start date&Invalid end date	{'account_no': 5, 'customer_number': 13230, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3088.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '18/10/21', 'cool_off': '3/11/21', 'billing_start': nan, 'billing_end': nan}
5	6	Invalid end date	{'account_no': 6, 'customer_number': 10425, 'age_group': '45-49', 'state': 'NSW', 'postcode': 2212.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Interval', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/10/21', 'cool_off': '22/10/21', 'billing_start': '12/10/21', 'billing_end': nan}
6	7	Invalid end date	{'account_no': 7, 'customer_number': 9533, 'age_group': '50-54', 'state': 'QLD', 'postcode': 4285.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '8/6/20', 'cool_off': '22/6/20', 'billing_start': '23/6/20', 'billing_end': nan}
7	9	Invalid end date	{'account_no': 9, 'customer_number': 13803, 'age_group': '30-34', 'state': 'NSW', 'postcode': 2010.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/10/21', 'cool_off': '27/10/21', 'billing_start': '13/10/21', 'billing_end': nan}
8	10	Invalid end date	{'account_no': 10, 'customer_number': 14569, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3145.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/10/21', 'cool_off': '22/10/21', 'billing_start': '12/10/21', 'billing_end': nan}
9	11	Invalid end date	{'account_no': 11, 'customer_number': 5648, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3030.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/10/21', 'cool_off': '29/10/21', 'billing_start': '16/10/21', 'billing_end': nan}
10	12	Invalid end date	{'account_no': 12, 'customer_number': 10033, 'age_group': '55-59', 'state': 'SA', 'postcode': 5204.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/10/21', 'cool_off': '25/10/21', 'billing_start': '11/10/21', 'billing_end': nan}
11	13	Invalid end date	{'account_no': 13, 'customer_number': 10099, 'age_group': '40-44', 'state': 'SA', 'postcode': 5136.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '12/10/21', 'cool_off': '26/10/21', 'billing_start': '14/10/21', 'billing_end': nan}
12	15	Invalid end date	{'account_no': 15, 'customer_number': 8121, 'age_group': '40-44', 'state': 'ACT', 'postcode': 2602.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/9/20', 'cool_off': '17/9/20', 'billing_start': '15/1/21', 'billing_end': nan}
13	16	Invalid start date&Invalid end date	{'account_no': 16, 'customer_number': 8344, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3070.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '18/10/21', 'cool_off': '1/11/21', 'billing_start': nan, 'billing_end': nan}
14	17	Invalid end date	{'account_no': 17, 'customer_number': 9523, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3070.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '4/10/21', 'cool_off': '19/10/21', 'billing_start': '8/10/21', 'billing_end': nan}
15	20	Invalid end date	{'account_no': 20, 'customer_number': 9285, 'age_group': '65-69', 'state': 'VIC', 'postcode': 3180.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/4/21', 'cool_off': '28/4/21', 'billing_start': '27/4/21', 'billing_end': nan}
16	21	Invalid end date	{'account_no': 21, 'customer_number': 12931, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3146.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '3/8/20', 'cool_off': '17/8/20', 'billing_start': '18/8/20', 'billing_end': nan}
